,pretty_formula,final_structure,icsd_ids,spacegroup
10,CsBaI3,"Full Formula (Cs4 Ba4 I12)
Reduced Formula: CsBaI3
abc   :   5.269611  10.775269  18.819918
angles:  90.000000  90.000000  90.000000
Sites (20)
  #  SP       a         b         c    magmom
---  ----  ----  --------  --------  --------
  0  Cs    0.75  0.580338  0.176235        -0
  1  Cs    0.25  0.419662  0.823765        -0
  2  Cs    0.75  0.080338  0.323765        -0
  3  Cs    0.25  0.919662  0.676235        -0
  4  Ba    0.25  0.671121  0.438206         0
  5  Ba    0.75  0.328879  0.561794         0
  6  Ba    0.25  0.171121  0.061794         0
  7  Ba    0.75  0.828879  0.938206         0
  8  I     0.75  0.841033  0.508343        -0
  9  I     0.25  0.158967  0.491657        -0
 10  I     0.75  0.341033  0.991657        -0
 11  I     0.25  0.658967  0.008343        -0
 12  I     0.25  0.529923  0.606392        -0
 13  I     0.75  0.470077  0.393608        -0
 14  I     0.25  0.029923  0.893608        -0
 15  I     0.75  0.970077  0.106392        -0
 16  I     0.25  0.807324  0.277173        -0
 17  I     0.75  0.192676  0.722827        -0
 18  I     0.25  0.307324  0.222827        -0
 19  I     0.75  0.692676  0.777173        -0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pnma', 'number': 62, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-P 2ac 2n'}"
11,H3CI,"Full Formula (H3 C1 I1)
Reduced Formula: H3CI
abc   :  15.478979  15.478979  15.478979
angles:  90.204733  90.204733  90.204736
Sites (5)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  H     0.516458  0.434085  0.434085        -0
  1  H     0.434085  0.516458  0.434085        -0
  2  H     0.434085  0.434085  0.516458        -0
  3  C     0.47374   0.47374   0.47374         -0
  4  I     0.554278  0.554278  0.554278        -0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'R3m', 'number': 160, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'R 3 -2""'}"
12,Ba2SbI,"Full Formula (Ba2 Sb1 I1)
Reduced Formula: Ba2SbI
abc   :  13.334410  13.334410  13.334410
angles: 120.958099 119.550261  89.564666
Sites (4)
  #  SP      a         b         c    magmom
---  ----  ---  --------  --------  --------
  0  Ba      0  0.234663  0.234663        -0
  1  Ba      0  0.765337  0.765337        -0
  2  Sb      0  0         0                0
  3  I       0  0.5       0.5             -0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Immm', 'number': 71, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-I 2 2'}"
13,Te7As5I,"Full Formula (Te7 As5 I1)
Reduced Formula: Te7As5I
abc   :   6.822561   7.430540   8.514457
angles: 105.003913 101.530596  91.127538
Sites (13)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Te    0.645674  0.15128   0.447796        -0
  1  Te    0.369142  0.15706   0.947716        -0
  2  Te    0.079096  0.225416  0.33193          0
  3  Te    0.164817  0.442256  0.806039        -0
  4  Te    0.860318  0.515008  0.199506        -0
  5  Te    0.614267  0.830879  0.063769        -0
  6  Te    0.317193  0.925617  0.482529         0
  7  As    0.015635  0.971289  0.027966         0
  8  As    0.770869  0.336673  0.871722        -0
  9  As    0.449714  0.368903  0.270834        -0
 10  As    0.56526   0.573477  0.772294         0
 11  As    0.220523  0.724256  0.144643         0
 12  I     0.927492  0.777885  0.633257        -0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P1', 'number': 1, 'point_group': '1', 'crystal_system': 'triclinic', 'hall': 'P 1'}"
14,SrCaI4,"Full Formula (Sr1 Ca1 I4)
Reduced Formula: SrCaI4
abc   :   4.682771   7.494139   8.143849
angles:  89.845438  90.000000  90.000000
Sites (6)
  #  SP      a         b         c    magmom
---  ----  ---  --------  --------  --------
  0  Sr    0    0         0                0
  1  Ca    0.5  0         0.5              0
  2  I     0    0.23518   0.654355         0
  3  I     0.5  0.241882  0.179708         0
  4  I     0.5  0.758118  0.820292         0
  5  I     0    0.76482   0.345645         0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2/m', 'number': 10, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2y'}"
15,SrCaI4,"Full Formula (Sr1 Ca1 I4)
Reduced Formula: SrCaI4
abc   :   7.635676   7.635676   4.787731
angles:  90.000000  90.000000  90.020162
Sites (6)
  #  SP           a         b    c    magmom
---  ----  --------  --------  ---  --------
  0  Sr    0         0         0          -0
  1  Ca    0.5       0.5       0.5        -0
  2  I     0.207301  0.207301  0.5         0
  3  I     0.692242  0.307758  0           0
  4  I     0.307758  0.692242  0           0
  5  I     0.792699  0.792699  0.5         0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmmm', 'number': 65, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-C 2 2'}"
16,SrCaI4,"Full Formula (Sr2 Ca2 I8)
Reduced Formula: SrCaI4
abc   :   9.050110   9.050110   7.726061
angles:  70.592278  70.592278 110.597710
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Sr    0.635196  0.364804  0.75            -0
  1  Sr    0.364804  0.635196  0.25            -0
  2  Ca    0.000419  0.999581  0.25            -0
  3  Ca    0.999581  0.000419  0.75            -0
  4  I     0.640839  0.761704  0.731714         0
  5  I     0.943567  0.296081  0.415218        -0
  6  I     0.296081  0.943567  0.915218        -0
  7  I     0.238296  0.359161  0.768286         0
  8  I     0.761704  0.640839  0.231714        -0
  9  I     0.703919  0.056433  0.084782        -0
 10  I     0.056433  0.703919  0.584782        -0
 11  I     0.359161  0.238296  0.268286        -0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'C2/c', 'number': 15, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-C 2yc'}"
17,SrCa2I6,"Full Formula (Sr2 Ca4 I12)
Reduced Formula: SrCa2I6
abc   :   8.054601   7.419071  14.679076
angles:  62.754966  90.000000  90.000000
Sites (18)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Sr    0         0         0               -0
  1  Sr    0.5       0         0.5             -0
  2  Ca    0.603878  0.669547  0.254979         0
  3  Ca    0.103878  0.330453  0.245021         0
  4  Ca    0.896122  0.669547  0.754979         0
  5  Ca    0.396122  0.330453  0.745021         0
  6  I     0.327218  0.706101  0.091477        -0
  7  I     0.810393  0.569741  0.0934           0
  8  I     0.427264  0.060318  0.26441         -0
  9  I     0.927264  0.939682  0.23559         -0
 10  I     0.310393  0.430259  0.4066           0
 11  I     0.827218  0.293899  0.408523        -0
 12  I     0.172782  0.706101  0.591477        -0
 13  I     0.689607  0.569741  0.5934           0
 14  I     0.072736  0.060318  0.76441         -0
 15  I     0.572736  0.939682  0.73559         -0
 16  I     0.189607  0.430259  0.9066           0
 17  I     0.672782  0.293899  0.908523        -0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1/c', 'number': 14, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2ybc'}"
18,Sr2CaI6,"Full Formula (Sr4 Ca2 I12)
Reduced Formula: Sr2CaI6
abc   :   8.491209   7.658465  13.870422
angles:  57.152778  90.000000  90.000000
Sites (18)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Sr    0.607476  0.701366  0.247562        -0
  1  Sr    0.107476  0.298634  0.252438        -0
  2  Sr    0.892524  0.701366  0.747562        -0
  3  Sr    0.392524  0.298634  0.752438        -0
  4  Ca    0         0         0                0
  5  Ca    0.5       0         0.5              0
  6  I     0.318131  0.756832  0.067672         0
  7  I     0.819429  0.594757  0.075647        -0
  8  I     0.45314   0.100772  0.250185        -0
  9  I     0.95314   0.899228  0.249815        -0
 10  I     0.319429  0.405243  0.424353        -0
 11  I     0.818131  0.243168  0.432328         0
 12  I     0.181869  0.756832  0.567672         0
 13  I     0.680571  0.594757  0.575647        -0
 14  I     0.04686   0.100772  0.750185        -0
 15  I     0.54686   0.899228  0.749815        -0
 16  I     0.180571  0.405243  0.924353        -0
 17  I     0.681869  0.243168  0.932328         0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1/c', 'number': 14, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2ybc'}"
19,SrCa2I6,"Full Formula (Sr2 Ca4 I12)
Reduced Formula: SrCa2I6
abc   :   8.521000   8.521000  11.870340
angles:  87.695578  87.695578 119.281036
Sites (18)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Sr    0.01901   0.98099   0.75             0
  1  Sr    0.98099   0.01901   0.25             0
  2  Ca    0.414921  0.707626  0.434517        -0
  3  Ca    0.292374  0.585079  0.065483        -0
  4  Ca    0.707626  0.414921  0.934517        -0
  5  Ca    0.585079  0.292374  0.565483        -0
  6  I     0.596236  0.707538  0.871286         0
  7  I     0.439163  0.081405  0.804881         0
  8  I     0.243743  0.972059  0.462719         0
  9  I     0.027941  0.756257  0.037281         0
 10  I     0.918595  0.560837  0.695119         0
 11  I     0.292462  0.403764  0.628714         0
 12  I     0.707538  0.596236  0.371286         0
 13  I     0.081405  0.439163  0.304881         0
 14  I     0.972059  0.243743  0.962719         0
 15  I     0.756257  0.027941  0.537281         0
 16  I     0.560837  0.918595  0.195119         0
 17  I     0.403764  0.292462  0.128714         0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'C2/c', 'number': 15, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-C 2yc'}"
20,Sr3CaI8,"Full Formula (Sr3 Ca1 I8)
Reduced Formula: Sr3CaI8
abc   :   9.806675   9.806675   9.806675
angles: 131.791128 131.791128  70.559118
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Sr    0.75      0.25      0.5              0
  1  Sr    0.5       0.5       0                0
  2  Sr    0.25      0.75      0.5              0
  3  Ca    0         0         0               -0
  4  I     0.63007   0.123118  0                0
  5  I     0.123118  0.123118  0.493048         0
  6  I     0.876882  0.36993   0                0
  7  I     0.36993   0.36993   0.493048         0
  8  I     0.123118  0.63007   0                0
  9  I     0.63007   0.63007   0.506952         0
 10  I     0.36993   0.876882  0                0
 11  I     0.876882  0.876882  0.506952         0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4/mmm', 'number': 139, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': '-I 4 2'}"
21,Sr2CaI6,"Full Formula (Sr4 Ca2 I12)
Reduced Formula: Sr2CaI6
abc   :   8.860653   8.860653  11.515646
angles:  86.568543  86.568543 121.651747
Sites (18)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Sr    0.299118  0.618343  0.540857         0
  1  Sr    0.381657  0.700882  0.959143         0
  2  Sr    0.618343  0.299118  0.040857         0
  3  Sr    0.700882  0.381657  0.459143         0
  4  Ca    0.046154  0.953846  0.25            -0
  5  Ca    0.953846  0.046154  0.75            -0
  6  I     0.294546  0.364147  0.14419          0
  7  I     0.95271   0.560354  0.196421         0
  8  I     0.025058  0.770519  0.53909         -0
  9  I     0.229481  0.974942  0.96091         -0
 10  I     0.439646  0.04729   0.303579         0
 11  I     0.635853  0.705454  0.35581          0
 12  I     0.364147  0.294546  0.64419          0
 13  I     0.560354  0.95271   0.696421         0
 14  I     0.770519  0.025058  0.03909         -0
 15  I     0.974942  0.229481  0.46091         -0
 16  I     0.04729   0.439646  0.803579         0
 17  I     0.705454  0.635853  0.85581          0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'C2/c', 'number': 15, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-C 2yc'}"
22,Cs2CdI4,"Full Formula (Cs4 Cd2 I8)
Reduced Formula: Cs2CdI4
abc   :   8.683094   8.104296  11.370903
angles:  68.590732  90.000000  90.000000
Sites (14)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0.75      0.717822  0.591539         0
  1  Cs    0.25      0.282178  0.408461         0
  2  Cs    0.75      0.159267  0.032552         0
  3  Cs    0.25      0.840733  0.967448         0
  4  Cd    0.25      0.409372  0.776875         0
  5  Cd    0.75      0.590628  0.223125         0
  6  I     0.990918  0.247374  0.714637        -0
  7  I     0.490918  0.752626  0.285363        -0
  8  I     0.009082  0.752626  0.285363        -0
  9  I     0.509082  0.247374  0.714637        -0
 10  I     0.75      0.686494  0.955688        -0
 11  I     0.25      0.313506  0.044312        -0
 12  I     0.75      0.22262   0.354685        -0
 13  I     0.25      0.77738   0.645315        -0","[65654, 202494]","{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1/m', 'number': 11, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2yb'}"
23,BaIO5,"Full Formula (Ba2 I2 O10)
Reduced Formula: BaIO5
abc   :   5.874343   7.095514   7.375665
angles:  88.801315  87.915272  81.493646
Sites (14)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ba    0.780813  0.285074  0.95247     -0.004
  1  Ba    0.219187  0.714926  0.04753     -0.004
  2  I     0.808458  0.28894   0.487984    -0.11
  3  I     0.191542  0.71106   0.512016    -0.11
  4  O     0.768433  0.792068  0.770092    -0.693
  5  O     0.231567  0.207932  0.229908    -0.693
  6  O     0.620943  0.677537  0.776275    -0.629
  7  O     0.379057  0.322463  0.223725    -0.629
  8  O     0.758227  0.62897   0.141929     0.198
  9  O     0.241773  0.37103   0.858071     0.198
 10  O     0.809759  0.943621  0.129024     0.189
 11  O     0.190241  0.056379  0.870976     0.189
 12  O     0.344197  0.181641  0.843563     0.262
 13  O     0.655803  0.818359  0.156437     0.262",[71448],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P-1', 'number': 2, 'point_group': '-1', 'crystal_system': 'triclinic', 'hall': '-P 1'}"
24,Gd3CI3,"Full Formula (Gd6 C2 I6)
Reduced Formula: Gd3CI3
abc   :   3.951615   8.783555  11.893467
angles:  92.214719  90.000000  90.000000
Sites (14)
  #  SP       a         b         c    magmom
---  ----  ----  --------  --------  --------
  0  Gd    0.25  0.918033  0.599927    -7.051
  1  Gd    0.75  0.081967  0.400073    -7.051
  2  Gd    0.25  0.885083  0.180402     7.068
  3  Gd    0.75  0.114917  0.819598     7.068
  4  Gd    0.25  0.297134  0.616659    -7
  5  Gd    0.75  0.702866  0.383341    -6.998
  6  C     0.25  0.879849  0.383368     0.047
  7  C     0.75  0.120151  0.616632     0.047
  8  I     0.25  0.854446  0.876532    -0.009
  9  I     0.75  0.145554  0.123468    -0.009
 10  I     0.25  0.380575  0.87566     -0.003
 11  I     0.75  0.619425  0.12434     -0.003
 12  I     0.25  0.383097  0.364532     0.014
 13  I     0.75  0.616903  0.635468     0.014",[73199],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1/m', 'number': 11, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2yb'}"
25,Zn(AgI2)2,"Full Formula (Zn2 Ag4 I8)
Reduced Formula: Zn(AgI2)2
abc   :   7.479741   7.844521   9.226430
angles:  90.000000  90.000000  90.000000
Sites (14)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Zn    0.377154  0.679059  0.5             -0
  1  Zn    0.877154  0.320941  0               -0
  2  Ag    0.375407  0.169459  0.747702        -0
  3  Ag    0.375407  0.169459  0.252298        -0
  4  Ag    0.875407  0.830541  0.752298        -0
  5  Ag    0.875407  0.830541  0.247702        -0
  6  I     0.501759  0.358844  0.5             -0
  7  I     0.001759  0.641156  0               -0
  8  I     0.021051  0.665518  0.5             -0
  9  I     0.521051  0.334482  0               -0
 10  I     0.490812  0.822481  0.743684        -0
 11  I     0.490812  0.822481  0.256316        -0
 12  I     0.990812  0.177519  0.756316        -0
 13  I     0.990812  0.177519  0.243684        -0",[190588],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pmn2_1', 'number': 31, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'P 2ac -2'}"
26,Bi8Pt5I3,"Full Formula (Bi8 Pt5 I3)
Reduced Formula: Bi8Pt5I3
abc   :   9.527727   9.527727  13.688227
angles:  67.830834  67.830834  24.289094
Sites (16)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Bi    0.896033  0.896033  0.478768         0
  1  Bi    0.103967  0.103967  0.521232         0
  2  Bi    0.325273  0.325273  0.728346         0
  3  Bi    0.674727  0.674727  0.271654         0
  4  Bi    0.483106  0.483106  0.781893         0
  5  Bi    0.516894  0.516894  0.218107         0
  6  Bi    0.682492  0.682492  0.973215         0
  7  Bi    0.317508  0.317508  0.026785         0
  8  Pt    0.5       0.5       0.5             -0
  9  Pt    0.946735  0.946735  0.657913        -0
 10  Pt    0.053265  0.053265  0.342087        -0
 11  Pt    0.847601  0.847601  0.871972        -0
 12  Pt    0.152399  0.152399  0.128028        -0
 13  I     0         0         0               -0
 14  I     0.684261  0.684261  0.673118        -0
 15  I     0.315739  0.315739  0.326882        -0","[429281, 429280]","{'symprec': 0.1, 'source': 'spglib', 'symbol': 'C2/m', 'number': 12, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-C 2y'}"
27,Ca(IO2)2,"Full Formula (Ca2 I4 O8)
Reduced Formula: Ca(IO2)2
abc   :   8.121013   4.718654   7.503693
angles:  69.986960  90.000000  90.000000
Sites (14)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ca    0.5       0         0.5              0
  1  Ca    0         0         0                0
  2  I     0.878305  0.685164  0.634996         0
  3  I     0.378305  0.314836  0.865004         0
  4  I     0.121695  0.314836  0.365004         0
  5  I     0.621695  0.685164  0.134996         0
  6  O     0.334422  0.557904  0.606493        -0
  7  O     0.834422  0.442096  0.893507        -0
  8  O     0.665578  0.442096  0.393507        -0
  9  O     0.165578  0.557904  0.106493        -0
 10  O     0.002286  0.99013   0.692361        -0
 11  O     0.502286  0.00987   0.807639        -0
 12  O     0.997714  0.00987   0.307639        -0
 13  O     0.497714  0.99013   0.192361        -0",[33265],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1/c', 'number': 14, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2ybc'}"
28,AlI3N5,"Full Formula (Al2 I6 N10)
Reduced Formula: AlI3N5
abc   :   6.828428   6.828428   8.447738
angles:  90.000000  90.000000 117.821351
Sites (18)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Al    0.191555  0.808445  0.25        -0.01
  1  Al    0.808445  0.191555  0.75        -0.01
  2  I     0.756117  0.243883  0.25        -0.001
  3  I     0.243883  0.756117  0.75        -0.001
  4  I     0.770872  0.770872  0            0.017
  5  I     0.770872  0.770872  0.5          0.017
  6  I     0.229128  0.229128  0            0.017
  7  I     0.229128  0.229128  0.5          0.017
  8  N     0.355901  0.644099  0.25         1.054
  9  N     0.644099  0.355901  0.75         1.054
 10  N     0.099144  0.900856  0.434502    -0.025
 11  N     0.900856  0.099144  0.565498    -0.025
 12  N     0.099144  0.900856  0.065498    -0.025
 13  N     0.900856  0.099144  0.934502    -0.025
 14  N     0.437377  0.131858  0.25         0.034
 15  N     0.131858  0.437377  0.75         0.034
 16  N     0.562623  0.868142  0.75         0.034
 17  N     0.868142  0.562623  0.25         0.034",[95856],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmcm', 'number': 63, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-C 2c 2'}"
29,K3AsI6,"Full Formula (K3 As1 I6)
Reduced Formula: K3AsI6
abc   :   8.796451   8.796451   8.796451
angles:  60.000000  60.000000  60.000000
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  K     0.75      0.75      0.75             0
  1  K     0.25      0.25      0.25             0
  2  K     0.5       0.5       0.5              0
  3  As    0         0         0               -0
  4  I     0.769248  0.230752  0.230752         0
  5  I     0.230752  0.230752  0.769248         0
  6  I     0.230752  0.769248  0.769248         0
  7  I     0.230752  0.769248  0.230752         0
  8  I     0.769248  0.230752  0.769248         0
  9  I     0.769248  0.769248  0.230752         0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}"
